FASTA-ID	Score	Cleavage Position	Signal Peptide ?	Chart
3FN4_WALAE	0.0000	0	N	Details
3FN3_WALAE	0.7486	21	Y	Details
3FN5_WALAE	0.7134	21	Y	Details
APY_AEDAL	0.9682	25	Y	Details
BAGLU_SCUBA	0.8246	25	Y	Details
CIP2_HYPJQ	0.8019	17	Y	Details
EFCB_NEPCI	0.9303	19	Y	Details
GAOA_GIBZA	0.7429	16	Y	Details
IVB1_WALAE	0.8086	24	Y	Details
IVB2_WALAE	0.8697	17	Y	Details
IVB4_WALAE	0.8697	17	Y	Details
IVBMA_MICTN	0.8704	24	Y	Details
LECG_PATPE	0.9332	18	Y	Details
NXL1_AUSLA	0.6605	21	Y	Details
NXSM1_DENPO	0.7381	21	Y	Details
OXLA_DABRR	0.7953	18	Y	Details
PA2A1_ECHCA	0.7520	16	Y	Details
PA2A1_DABRR	0.8007	16	Y	Details
PA2A2_DABSI	0.8027	16	Y	Details
PA2A2_VIPRE	0.8121	16	Y	Details
PA2A3_VIPRE	0.8007	16	Y	Details
PA2AA_CROVV	0.8975	16	Y	Details
PA2AA_DABSI	0.7753	16	Y	Details
PA2AA_TRIPE	0.7093	16	Y	Details
PA2AA_TRIST	0.6305	16	Y	Details
PA2AB_CROVV	0.9282	16	Y	Details
PA2AD_CROVV	0.8975	16	Y	Details
PA2AD_TRIST	0.9391	16	Y	Details
PA2AE_CROVV	0.9282	16	Y	Details
PA2A_BOTER	0.8709	16	Y	Details
PA2AF_TRIST	0.7963	16	Y	Details
PA2A_MACLN	0.7863	16	Y	Details
PA2A_TRIBO	0.8081	16	Y	Details
PA2A_TRIGS	0.8066	16	Y	Details
PA2B1_DABSI	0.7854	16	Y	Details
PA2B1_DABRR	0.7854	16	Y	Details
PA2B1_PROEL	0.8409	16	Y	Details
PA2B1_PROFL	0.8262	16	Y	Details
PA2B2_DABRR	0.8051	16	Y	Details
PA2B2_PROFL	0.8329	16	Y	Details
PA2BB_SISCT	0.8550	16	Y	Details
PA2BN_CROVV	0.8574	16	Y	Details
PA2B_BOTSC	0.8520	16	Y	Details
PA2B_BUNFA	0.9553	19	Y	Details
PA2B_TRIBO	0.8302	16	Y	Details
PA2B_TRIPE	0.8302	16	Y	Details
PA2B_VIPRE	0.8166	16	Y	Details
PA2HA_TRIPE	0.9081	16	Y	Details
PA2HB_PROMU	0.8121	16	Y	Details
PA2HB_TRIBO	0.8847	16	Y	Details
PA2HB_TRIPE	0.9081	16	Y	Details
PA2HD_TRIST	0.8336	16	Y	Details
PA2HE_TRIST	0.8781	16	Y	Details
PA2HB_MICTN	0.9689	24	Y	Details
PA2HF_TRIST	0.9066	16	Y	Details
PA2HG_TRIST	0.8781	16	Y	Details
PA2HH_TRIST	0.9006	16	Y	Details
PA2HI_TRIST	0.8339	16	Y	Details
PA2HP_PROMU	0.8781	16	Y	Details
PEPA3_HUMAN	0.6409	17	Y	Details
PEPA4_HUMAN	0.6409	17	Y	Details
PEPA5_HUMAN	0.6409	17	Y	Details
PEPP_ALLCE	0.6438	28	Y	Details
PFI_PTIFI	0.6444	21	Y	Details
SAA1_HUMAN	0.8564	18	Y	Details
SNO1_TYRJA	0.8856	22	Y	Details
SOL5_ALTSO	0.4798	16	N	Details
VAP1_ANDAM	0.7897	22	Y	Details
VAP2_ANDAM	0.9302	22	Y	Details
sp|Q9LD95|SIGF_ARATH	0.0000	0	N	Details
sp|Q6EWH2|FYNA_DANRE	0.0000	60	N	Details
sp|Q1K6I4|THI4_NEUCR	0.2909	51	N	Details
sp|Q9PTD5|MTFR1_CHICK	0.0000	54	N	Details
sp|Q8GZ53|SOT14_ARATH	0.0000	60	N	Details
sp|P0DH97|CALM2_ARATH	0.0000	47	N	Details
sp|F1QGH9|PS11B_DANRE	0.3529	63	N	Details
sp|Q8LGD1|SP1L5_ARATH	0.0000	19	N	Details
sp|Q6X1C0|GLT2_CROSA	0.1759	51	N	Details
sp|P0DJE6|LITD_LATHA	0.0000	45	N	Details
sp|E9HCD7|NNRE_DAPPU	0.5468	43	Y	Details
sp|Q2V4B2|PQL3_ARATH	0.0388	56	N	Details
sp|Q5Q0B3|FLP1_ARATH	0.0653	56	N	Details
sp|G2TRM2|YI82_SCHPO	0.0000	54	N	Details
sp|A5D6V4|TM17B_DANRE	0.0000	63	N	Details
sp|Q9LHQ6|OCT4_ARATH	0.3163	64	N	Details
sp|A2RV70|ZN326_XENLA	0.0000	57	N	Details
sp|Q4V7Z1|POC1B_XENLA	0.0000	53	N	Details
